Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1973,.29,.32,.29,.27,.23,.19,.13,.05,.09,.10,.04,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.12,-.04,-.05,-.03,.10,-.08,-.05,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.02,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.22,-.07,-.21,-.12,-.10,-.12,-.07,-.24,-.06,.11,-.10,-.12,-.09,-.16,-.11,-.12
1977,.18,.23,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.02,.04,-.14,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.07
1979,.08,-.10,.19,.15,.04,.14,.04,.16,.25,.26,.28,.48,.16,.13,.02,.13,.11,.26
1980,.29,.39,.30,.30,.35,.20,.22,.18,.20,.13,.30,.22,.26,.28,.39,.32,.20,.21
1981,.53,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.17
1982,.05,.15,.03,.15,.18,.06,.15,.04,.14,.13,.18,.43,.14,.14,.20,.12,.08,.15
1983,.53,.43,.42,.27,.34,.22,.18,.35,.37,.17,.30,.17,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.13,.07,-.04,.16,.17,.21,.22,.13,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.16,.13,.11,.05,.14,.12,.10,.05,.15,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.24,.25,.35,.40,.25,.35,.32,.29,.46,.32,.29,.29,.23,.33,.32
1988,.56,.44,.51,.42,.44,.40,.33,.39,.36,.37,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.15,.34,.33,.34,.29,.20,.37,.27,.27,.24,.27,.27,.28
1990,.41,.44,.80,.56,.45,.37,.45,.34,.23,.45,.46,.40,.45,.44,.41,.60,.39,.38
1991,.42,.50,.35,.51,.34,.53,.47,.39,.44,.29,.30,.32,.40,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.25,.08,.08,-.01,.06,.03,.22,.22,.23,.40,.35,.14,.03
1993,.34,.37,.36,.27,.28,.23,.25,.11,.11,.23,.03,.18,.23,.23,.31,.31,.19,.12
1994,.26,.02,.29,.41,.28,.43,.30,.21,.31,.42,.44,.39,.31,.30,.15,.33,.32,.39
1995,.52,.79,.47,.46,.27,.43,.45,.45,.33,.47,.44,.26,.44,.45,.56,.40,.44,.41
1996,.24,.46,.32,.33,.27,.28,.36,.48,.25,.24,.38,.37,.33,.32,.32,.31,.38,.29
1997,.33,.40,.51,.33,.34,.54,.33,.41,.52,.61,.64,.59,.46,.45,.37,.40,.43,.59
1998,.57,.88,.63,.63,.68,.77,.66,.65,.41,.41,.43,.54,.61,.61,.68,.65,.69,.42
1999,.48,.64,.32,.32,.26,.36,.38,.31,.38,.34,.37,.40,.38,.39,.55,.30,.35,.36
2000,.25,.56,.55,.57,.36,.40,.39,.42,.38,.26,.30,.28,.39,.40,.40,.49,.40,.31
2001,.45,.44,.55,.50,.58,.52,.59,.49,.52,.50,.72,.56,.53,.51,.39,.54,.53,.58
2002,.77,.78,.88,.58,.64,.53,.62,.53,.63,.54,.59,.44,.63,.64,.70,.70,.56,.59
2003,.74,.58,.60,.55,.60,.48,.58,.65,.62,.73,.53,.75,.62,.59,.59,.58,.57,.63
2004,.58,.72,.63,.61,.37,.44,.26,.46,.50,.61,.72,.51,.53,.55,.68,.54,.38,.61
2005,.74,.60,.74,.67,.63,.65,.61,.60,.71,.75,.73,.68,.68,.66,.62,.68,.62,.73
2006,.56,.73,.63,.47,.48,.66,.54,.70,.65,.70,.74,.79,.64,.63,.66,.53,.63,.70
2007,1.02,.70,.71,.76,.68,.61,.59,.60,.60,.59,.59,.50,.66,.69,.84,.72,.60,.59
2008,.30,.38,.75,.54,.50,.49,.60,.45,.61,.67,.69,.54,.54,.54,.39,.59,.51,.66
2009,.65,.52,.53,.61,.65,.64,.73,.69,.71,.66,.79,.67,.66,.65,.57,.60,.69,.72
2010,.75,.83,.92,.85,.75,.68,.63,.67,.64,.71,.81,.46,.73,.74,.75,.84,.66,.72
2011,.52,.48,.65,.64,.53,.62,.70,.75,.56,.66,.59,.60,.61,.60,.49,.61,.69,.60
2012,.47,.49,.57,.73,.78,.64,.58,.66,.72,.80,.79,.53,.65,.65,.52,.69,.63,.77
2013,.71,.62,.67,.53,.60,.69,.60,.70,.77,.69,.83,.70,.68,.66,.62,.60,.66,.76
2014,.76,.55,.78,.80,.86,.67,.58,.83,.87,.81,.67,.79,.75,.74,.67,.82,.70,.78
2015,.87,.90,.96,.76,.79,.81,.73,.80,.85,1.09,1.06,1.17,.90,.87,.85,.84,.78,1.00
2016,1.18,1.37,1.35,1.10,.95,.80,.85,1.02,.90,.89,.92,.87,1.02,1.04,1.24,1.13,.89,.90
2017,1.03,1.14,1.17,.94,.91,.72,.82,.87,.77,.90,.88,.94,.92,.92,1.01,1.01,.80,.85
2018,.83,.85,.88,.89,.82,.77,.83,.77,.80,1.01,.82,.92,.85,.85,.87,.86,.79,.88
2019,.94,.95,1.17,1.01,.85,.90,.95,.95,.93,1.01,.99,1.10,.98,.96,.93,1.01,.93,.97
2020,1.17,1.24,1.17,1.13,1.01,.92,.90,.87,.98,.88,1.11,.80,1.02,1.04,1.17,1.11,.90,.99
2021,.81,.65,.89,.76,.79,.85,.92,.82,.93,.99,.94,.87,.85,.85,.76,.81,.86,.95
2022,.92,.90,1.05,.84,.84,.93,.94,.95,.89,.97,.73,.81,.90,.90,.89,.91,.94,.86
2023,.88,.98,1.22,1.00,.94,1.08,1.19,1.20,1.48,1.34,1.43,1.36,1.18,1.13,.89,1.05,1.16,1.42
2024,1.23,1.44,1.41,1.33,1.14,***,***,***,***,***,***,***,***,***,1.34,1.29,***,***
